Restaurant_id,City,Cuisine Style,Ranking,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA
id_10,Rome,,1209.0,,306.0,"[['Very pretentious, but drinks are top notch', 'A private cocktail bar open to the public'], ['09/11/2017', '06/25/2017']]",/Restaurant_Review-g187791-d7818546-Reviews-Jerry_Thomas_Speakeasy-Rome_Lazio.html,d7818546
id_11,Milan,['Italian'],4234.0,$$ - $$$,36.0,"[['GREAT APERITIVO WITH STYLE', 'Disappointing'], ['05/16/2015', '02/22/2015']]",/Restaurant_Review-g187849-d7209625-Reviews-M_ama_Milano-Milan_Lombardy.html,d7209625
id_12,Munich,['Greek'],1987.0,$,10.0,"[['You always feel very Welcome at this cozy...'], ['03/20/2010']]",/Restaurant_Review-g187309-d958943-Reviews-Wrossis-Munich_Upper_Bavaria_Bavaria.html,d958943
id_13,Hamburg,,1000.0,,30.0,"[['Surprisingly good pizza', 'Yummy'], ['09/28/2017', '09/19/2016']]",/Restaurant_Review-g187331-d1344523-Reviews-Il_Cammino-Hamburg.html,d1344523
id_14,Prague,"['European', 'Czech', 'Eastern European', 'Central European']",1105.0,$$ - $$$,273.0,"[['Good food, beer, value and service', 'Eat underground in a cave'], ['04/18/2017', '03/01/2017']]",/Restaurant_Review-g274707-d1093021-Reviews-U_Zlateho_Lva-Prague_Bohemia.html,d1093021
id_15,Paris,['French'],12899.0,$,39.0,"[['Very nice food and staff', 'Lovely service and staff!'], ['01/01/2017', '11/12/2016']]",/Restaurant_Review-g187147-d7605609-Reviews-Le_Barouf-Paris_Ile_de_France.html,d7605609
id_16,Milan,"['Pizza', 'Vegetarian Friendly', 'Vegan Options']",1825.0,$$ - $$$,322.0,"[['truly Neapolitan pizza, new/slick location', 'Good pizza but i expected better from this...'], ['06/21/2017', '03/23/2017']]",/Restaurant_Review-g187849-d11850449-Reviews-Pizzeria_Da_Michele_I_Condurro-Milan_Lombardy.html,d11850449
id_17,London,"['Bar', 'British', 'Pub', 'Vegetarian Friendly', 'Gluten Free Options']",2349.0,$$ - $$$,282.0,"[['Quite a decent pub', 'in the middle of nothing'], ['12/28/2017', '12/12/2017']]",/Restaurant_Review-g186338-d2188276-Reviews-The_Pilot_Inn-London_England.html,d2188276
id_18,Vienna,,3360.0,,2.0,"[[], []]",/Restaurant_Review-g190454-d8435085-Reviews-Angkor_Club-Vienna.html,d8435085
id_19,Dublin,"['Italian', 'Pizza', 'European', 'Gluten Free Options', 'Vegetarian Friendly']",717.0,$$ - $$$,102.0,"[['Local joy', 'Cozy, cute and good food'], ['08/24/2017', '07/20/2017']]",/Restaurant_Review-g186605-d2177920-Reviews-Bianconi_s_Bistro-Dublin_County_Dublin.html,d2177920
id_20,Barcelona,,6085.0,,8.0,"[[], []]",/Restaurant_Review-g187497-d8334752-Reviews-Restaurante_Laumon-Barcelona_Catalonia.html,d8334752
id_21,London,"['Bar', 'Pizza', 'British', 'Vegetarian Friendly', 'Vegan Options']",1769.0,$$ - $$$,68.0,"[['Pizza and Mac & Cheese are on POINT!', 'Great atmosphere and pizza!'], ['12/05/2017', '10/23/2017']]",/Restaurant_Review-g186338-d11749014-Reviews-Tank_Paddle_Minster_Court-London_England.html,d11749014
id_22,Barcelona,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",2853.0,$$ - $$$,71.0,"[['Amazing', 'Loved It!!!!'], ['09/24/2017', '07/20/2015']]",/Restaurant_Review-g187497-d1216215-Reviews-La_Llesca_Sant_Andreu-Barcelona_Catalonia.html,d1216215
id_23,Brussels,"['Italian', 'Mediterranean', 'Pizza']",1255.0,$$ - $$$,51.0,"[['Good pizza in Woluwe', 'Cosy environment'], ['10/09/2017', '06/04/2017']]",/Restaurant_Review-g1136495-d7653791-Reviews-Pinocchio-Woluwe_Saint_Lambert_Brussels.html,d7653791
id_24,Barcelona,"['Spanish', 'Vegetarian Friendly']",1909.0,$,130.0,"[['The cheese sauce is the way.', 'Vegan experience'], ['11/28/2016', '10/28/2016']]",/Restaurant_Review-g187497-d6539478-Reviews-Crum-Barcelona_Catalonia.html,d6539478
id_25,Madrid,,5828.0,,,"[[], []]",/Restaurant_Review-g187514-d13202032-Reviews-Wan-Madrid.html,d13202032
id_26,Rome,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",1726.0,$$ - $$$,228.0,"[['Good regional cooking and friendly staff', 'A bit old fahion, but a nice place'], ['05/31/2017', '03/17/2017']]",/Restaurant_Review-g187791-d2061134-Reviews-La_Balestra-Rome_Lazio.html,d2061134
id_27,Barcelona,"['Mediterranean', 'Spanish']",2283.0,$,18.0,"[['Great time at Balabar', 'Great local tapas bar'], ['01/10/2018', '08/10/2017']]",/Restaurant_Review-g187497-d10133841-Reviews-Balabar-Barcelona_Catalonia.html,d10133841
id_28,Barcelona,,6133.0,,19.0,"[[], []]",/Restaurant_Review-g187497-d5795143-Reviews-La_Bona_Taula_de_Llica-Barcelona_Catalonia.html,d5795143
id_29,Oslo,"['French', 'European', 'Norwegian', 'Italian', 'Vegetarian Friendly', 'Gluten Free Options']",550.0,$$ - $$$,465.0,"[['Lovely food!', 'Nightmare'], ['02/26/2017', '11/11/2017']]",/Restaurant_Review-g190479-d1495732-Reviews-Mona_Lisa_Ristorante-Oslo_Eastern_Norway.html,d1495732
id_30,Madrid,['European'],2418.0,$$ - $$$,38.0,"[['Atmosphere and drinks nice', 'Spectacular Views'], ['08/05/2017', '09/30/2017']]",/Restaurant_Review-g187514-d8537746-Reviews-The_Azotea_En_Casa_Decor-Madrid.html,d8537746
id_31,Paris,,3156.0,,19.0,"[['Very good food'], ['09/24/2017']]",/Restaurant_Review-g187147-d11953078-Reviews-Bistrot_Wattignies-Paris_Ile_de_France.html,d11953078
id_32,London,"['African', 'Moroccan', 'Middle Eastern', 'Mediterranean', 'Halal', 'Vegetarian Friendly', 'Gluten Free Options']",6233.0,$$ - $$$,244.0,"[['Very tasty food and impeccable service!', 'Wanted to like it more, but too many disap...'], ['12/13/2017', '09/19/2017']]",/Restaurant_Review-g186338-d1018463-Reviews-Souk_Bazaar-London_England.html,d1018463
id_33,Milan,['Indian'],3667.0,$$ - $$$,94.0,"[['Nothing special, lazy service', 'Great food'], ['11/01/2016', '05/10/2016']]",/Restaurant_Review-g187849-d3532770-Reviews-Nabab-Milan_Lombardy.html,d3532770
id_34,Paris,['French'],476.0,$$ - $$$,136.0,"[['Worthy of a trip out of the city centre!', 'Great place!'], ['09/20/2017', '04/30/2017']]",/Restaurant_Review-g187147-d9597870-Reviews-La_Table_Des_Insolents-Paris_Ile_de_France.html,d9597870
id_35,Paris,['Thai'],7858.0,$,57.0,"[['My go to for great delivery!', 'When you want a taste of Asia in Europe'], ['10/22/2017', '05/22/2017']]",/Restaurant_Review-g187147-d3256188-Reviews-Thai_at_Home_Commerce-Paris_Ile_de_France.html,d3256188
id_36,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",252.0,$$ - $$$,235.0,"[['Very good spot either to eat or have a dri...', 'Feel like a local'], ['01/10/2018', '12/16/2017']]",/Restaurant_Review-g188590-d2095858-Reviews-De_Duvel-Amsterdam_North_Holland_Province.html,d2095858
id_37,London,,5279.0,,19.0,"[['Great atmosphere, great food', 'Brunch'], ['01/07/2018', '01/07/2018']]",/Restaurant_Review-g186338-d13234520-Reviews-The_Granary_Brasserie-London_England.html,d13234520
id_38,Paris,"['French', 'European', 'Vegetarian Friendly']",1722.0,$$ - $$$,572.0,"[['Upstairs Quieter and Pleasant', 'Delicious, but a bit expensive'], ['12/19/2017', '10/22/2017']]",/Restaurant_Review-g187147-d1326624-Reviews-Le_Castiglione-Paris_Ile_de_France.html,d1326624
id_39,Oslo,,609.0,,2.0,"[['Fantastic, friendly service', 'High quality cozy neighborhood coffee bar'], ['08/24/2017', '02/15/2017']]",/Restaurant_Review-g190479-d12170920-Reviews-Kaffegutta-Oslo_Eastern_Norway.html,d12170920
id_40,London,"['British', 'Welsh', 'Vegetarian Friendly', 'Gluten Free Options']",1053.0,$$$$,118.0,"[['Do it', 'Anniversary Brunch'], ['12/08/2017', '11/27/2017']]",/Restaurant_Review-g186338-d3339988-Reviews-GWR_Pullman_Dining-London_England.html,d3339988
id_41,Paris,"['American', 'Steakhouse']",13116.0,$$ - $$$,372.0,"[['Worst experience ever!!', 'Bad everything'], ['01/07/2018', '12/27/2017']]",/Restaurant_Review-g187147-d695231-Reviews-Buffalo_Grill-Paris_Ile_de_France.html,d695231
id_42,Berlin,,4222.0,,13.0,"[['Great pub', 'Not a friendly pub, but the beer is ok'], ['10/30/2016', '08/26/2016']]",/Restaurant_Review-g187323-d8180306-Reviews-Celtic_Cottage-Berlin.html,d8180306
id_43,Lyon,,2208.0,,5.0,"[[], []]",/Restaurant_Review-g187265-d11959505-Reviews-Jasmin_Tandoori-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d11959505
id_44,Edinburgh,"['Seafood', 'European', 'British', 'Soups', 'Scottish', 'Vegetarian Friendly', 'Gluten Free Options']",266.0,$$$$,4567.0,"[['Come for the wine more than the food', 'Desserts make this 4*'], ['01/11/2018', '01/05/2018']]",/Restaurant_Review-g186525-d720945-Reviews-The_Witchery_by_the_Castle-Edinburgh_Scotland.html,d720945
id_45,Paris,['French'],12709.0,$$ - $$$,49.0,"[['Touristy Cafe - Expensive', 'Much Better than Expected'], ['10/16/2016', '06/14/2016']]",/Restaurant_Review-g187147-d1439340-Reviews-Tours_Notre_Dame-Paris_Ile_de_France.html,d1439340
id_46,Paris,"['French', 'African']",10412.0,,12.0,"[[], []]",/Restaurant_Review-g187147-d4988279-Reviews-Le_Bois_d_Ebene_Chez_Benoit-Paris_Ile_de_France.html,d4988279
id_47,Paris,"['French', 'Fusion']",3859.0,$$ - $$$,144.0,"[['Good food', 'complete satisfaction'], ['11/09/2016', '01/31/2015']]",/Restaurant_Review-g187147-d1336377-Reviews-La_Baraque-Paris_Ile_de_France.html,d1336377
id_48,Athens,['Greek'],1077.0,,3.0,"[['Thomas'], ['01/06/2016']]",/Restaurant_Review-g189400-d8747125-Reviews-Your_sweet_home-Athens_Attica.html,d8747125
id_49,London,"['Moroccan', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Halal']",3777.0,$$ - $$$,788.0,"[['Best for: North African food with an atmos...', 'Souk Medina - for an Authentic Turkish Mea...'], ['01/02/2018', '12/29/2017']]",/Restaurant_Review-g186338-d737345-Reviews-Souk_Medina-London_England.html,d737345
id_50,Budapest,"['Italian', 'Pizza', 'Street Food']",1983.0,$,7.0,"[['The best in Budapest so far'], ['03/05/2017']]",/Restaurant_Review-g274887-d10788740-Reviews-Pizza_Raketa-Budapest_Central_Hungary.html,d10788740
id_51,Warsaw,,817.0,,10.0,"[['Cozy and cute, good selection of beer, nic...', 'Very cozy place and good food!'], ['04/19/2017', '10/23/2016']]",/Restaurant_Review-g274856-d9561771-Reviews-Zegarmistrzowska-Warsaw_Mazovia_Province_Central_Poland.html,d9561771
id_52,Budapest,"['Hungarian', 'Cafe']",1731.0,$$ - $$$,17.0,"[['Nice cafe', 'special cakes'], ['07/01/2016', '11/03/2015']]",/Restaurant_Review-g274887-d8262476-Reviews-Concerto_Cafe-Budapest_Central_Hungary.html,d8262476
id_53,Prague,,2095.0,,,"[[], []]",/Restaurant_Review-g274707-d7124128-Reviews-Chocobamba-Prague_Bohemia.html,d7124128
id_54,Lyon,"['French', 'Mediterranean']",966.0,$$ - $$$,20.0,"[[], []]",/Restaurant_Review-g187265-d12006420-Reviews-Les_Mangeurs_de_Toiles-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d12006420
id_55,Madrid,,6819.0,,10.0,"[['Coffee was fine - and as it says low price'], ['04/21/2017']]",/Restaurant_Review-g187514-d11633790-Reviews-La_Andaluza_low_cost-Madrid.html,d11633790
id_56,London,"['Indian', 'Asian']",13559.0,$$ - $$$,13.0,"[['Dinner', ""Mum's 80th Birthday Surprise Lunch""], ['05/24/2017', '06/28/2016']]",/Restaurant_Review-g186338-d4919094-Reviews-Blue_Ginger-London_England.html,d4919094
id_57,London,"['British', 'Vegetarian Friendly']",5315.0,$$ - $$$,44.0,"[['Nice lunch spot', 'Great team lunch'], ['12/22/2017', '11/06/2017']]",/Restaurant_Review-g186338-d11867015-Reviews-Clerkenwell_Grind-London_England.html,d11867015
id_58,Barcelona,['Mediterranean'],5164.0,,14.0,"[[], []]",/Restaurant_Review-g187497-d3672020-Reviews-Nosa-Barcelona_Catalonia.html,d3672020
id_59,Lyon,,1819.0,,5.0,"[[], []]",/Restaurant_Review-g187265-d8448700-Reviews-L_Olympic-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d8448700
id_60,Bratislava,"['European', 'Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",14.0,$$ - $$$,646.0,"[['Magnificent quirky cocktails', 'Afternoon Cocktails'], ['02/20/2018', '02/13/2018']]",/Restaurant_Review-g274924-d1804870-Reviews-Sky_Bar_Restaurant-Bratislava_Bratislava_Region.html,d1804870
id_61,Barcelona,"['Mediterranean', 'Spanish', 'Wine Bar', 'Seafood']",1826.0,$$ - $$$,28.0,"[['Great stop', 'Superb tapas!'], ['10/22/2017', '05/06/2017']]",/Restaurant_Review-g187497-d11855366-Reviews-Bodega_Vidrios_y_Cristales-Barcelona_Catalonia.html,d11855366
id_62,Budapest,"['European', 'Central European', 'Hungarian']",872.0,$,23.0,"[['Fantastic little hidden place', 'Very delicious food in the citycenter'], ['12/14/2017', '10/16/2017']]",/Restaurant_Review-g274887-d7249260-Reviews-Mensa_Andreas-Budapest_Central_Hungary.html,d7249260
id_63,Barcelona,,4730.0,,14.0,"[['Elegant yet approachable'], ['05/23/2015']]",/Restaurant_Review-g187497-d5776216-Reviews-Al_Dente-Barcelona_Catalonia.html,d5776216
id_64,London,"['Bar', 'Pub']",6672.0,$$ - $$$,19.0,"[['Worth a visit for fish n chips!', 'Such a nice atmosphere'], ['11/03/2017', '10/08/2017']]",/Restaurant_Review-g186338-d10147127-Reviews-The_Ferry_House-London_England.html,d10147127
id_65,Vienna,,2846.0,,3.0,"[[], []]",/Restaurant_Review-g190454-d11769083-Reviews-Pizzeria_Tomato-Vienna.html,d11769083
id_66,Oporto,,878.0,,7.0,"[[], []]",/Restaurant_Review-g189180-d11667248-Reviews-Confeitaria_Sao_Joao_da_Foz-Porto_Porto_District_Northern_Portugal.html,d11667248
id_67,Paris,"['American', 'Barbecue']",225.0,$$ - $$$,215.0,"[['A little piece of Texas in Paris.', 'Excellent meal'], ['01/06/2018', '01/04/2018']]",/Restaurant_Review-g187147-d11857524-Reviews-Melt-Paris_Ile_de_France.html,d11857524
id_68,Berlin,['Cafe'],3830.0,$,17.0,"[['Great Sumatera coffee serve here', 'Superb coffee'], ['03/01/2017', '01/06/2017']]",/Restaurant_Review-g187323-d10822625-Reviews-Peaberries_Cafe-Berlin.html,d10822625
id_69,Paris,"['French', 'European']",2325.0,$$ - $$$,126.0,"[['Local place for a local atmosphere', 'Highly recommended'], ['10/29/2017', '11/11/2017']]",/Restaurant_Review-g187147-d5952715-Reviews-Les_Garnements_Bistro_Resto-Paris_Ile_de_France.html,d5952715
id_70,Milan,,6091.0,,13.0,"[['great stop for a quck and tasty bite', 'Nice but pricey'], ['04/08/2016', '11/20/2015']]",/Restaurant_Review-g187849-d8338351-Reviews-Caffett_Dante-Milan_Lombardy.html,d8338351
id_71,London,['Cafe'],7458.0,$,11.0,"[['Great little cafe', 'Nice Cafe definitely improved'], ['11/08/2017', '08/20/2017']]",/Restaurant_Review-g186338-d12064491-Reviews-The_Rookery_Cafe-London_England.html,d12064491
id_72,Hamburg,,885.0,,22.0,"[['Most creative breakfast in Hamburg', 'cozy atmoshere for breakfast'], ['08/14/2017', '04/11/2017']]",/Restaurant_Review-g187331-d8352929-Reviews-Kraweel-Hamburg.html,d8352929
id_73,London,['British'],8403.0,$$ - $$$,26.0,"[['Great beers and quality pies', 'Lovely old city pub'], ['12/17/2017', '09/18/2017']]",/Restaurant_Review-g186338-d3625426-Reviews-Williamson_s_Tavern-London_England.html,d3625426
id_74,Prague,"['Cafe', 'European', 'Czech']",2052.0,$,,"[[""Nova' Doba""], ['01/26/2017']]",/Restaurant_Review-g274707-d12032989-Reviews-Cafe_Nova_doba-Prague_Bohemia.html,d12032989
id_75,London,"['Mediterranean', 'Bar', 'Pizza', 'European', 'Vegetarian Friendly']",3146.0,$$ - $$$,158.0,"[['Good choice for local dinner', 'Perfect for a Christmas catch up'], ['12/20/2017', '12/12/2017']]",/Restaurant_Review-g186338-d3507877-Reviews-The_Bird_In_Hand-London_England.html,d3507877
id_76,Paris,,10397.0,,12.0,"[['Nice place but...', 'Best arrival lunch'], ['09/04/2013', '12/07/2012']]",/Restaurant_Review-g187147-d719850-Reviews-Prosper-Paris_Ile_de_France.html,d719850
id_77,London,"['Asian', 'American', 'British', 'Central American', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",1576.0,$$ - $$$,3190.0,"[['Evening medl', 'Tasty food!!'], ['01/03/2018', '01/02/2018']]",/Restaurant_Review-g186338-d953797-Reviews-Planet_Hollywood-London_England.html,d953797
id_78,Paris,['French'],10604.0,$,9.0,"[[], []]",/Restaurant_Review-g187147-d10547215-Reviews-Varenne_36-Paris_Ile_de_France.html,d10547215
id_79,Paris,,13175.0,,3.0,"[[], []]",/Restaurant_Review-g187147-d8535535-Reviews-Subway-Paris_Ile_de_France.html,d8535535
id_80,Amsterdam,"['French', 'Asian', 'European', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",173.0,$$ - $$$,376.0,"[['Outstanding restaurant', 'Great spot'], ['01/06/2018', '01/05/2018']]",/Restaurant_Review-g188590-d8506168-Reviews-The_French_Connection-Amsterdam_North_Holland_Province.html,d8506168
id_81,Barcelona,"['Peruvian', 'South American']",4325.0,$$ - $$$,,"[[], []]",/Restaurant_Review-g187497-d10088997-Reviews-Nasca-Barcelona_Catalonia.html,d10088997
id_82,Dublin,"['Irish', 'Cafe', 'European']",584.0,$,74.0,"[['Great value for a breakfast', 'Pat Hanway'], ['09/07/2017', '08/10/2017']]",/Restaurant_Review-g186605-d6609067-Reviews-Cafe_Moda-Dublin_County_Dublin.html,d6609067
id_83,Paris,"['Pizza', 'Fast Food']",13342.0,$$ - $$$,4.0,"[[], []]",/Restaurant_Review-g187147-d10805315-Reviews-Snack_Boetie-Paris_Ile_de_France.html,d10805315
id_84,Krakow,"['Polish', 'Eastern European', 'European', 'Central European']",251.0,$$ - $$$,95.0,"[['The right choice', 'Excellent Polish cuisine'], ['11/06/2017', '10/05/2017']]",/Restaurant_Review-g274772-d3331669-Reviews-Golonkarnia_Bar_Restauracja-Krakow_Lesser_Poland_Province_Southern_Poland.html,d3331669
id_85,London,"['Italian', 'Pizza', 'Vegetarian Friendly']",14038.0,$,44.0,"[['Umm not my favourite', 'Great value for money and excellent servic...'], ['09/24/2017', '12/19/2017']]",/Restaurant_Review-g186338-d9857169-Reviews-Franco_Manca_Stoke_Newington-London_England.html,d9857169
id_86,Madrid,"['Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options']",3489.0,$$ - $$$,63.0,"[['A favourite in Madrid', 'Most excellent!'], ['03/16/2016', '10/26/2015']]",/Restaurant_Review-g187514-d3641641-Reviews-El_Terral-Madrid.html,d3641641
id_87,Paris,"['Vietnamese', 'Street Food']",7928.0,$$ - $$$,3.0,"[['Go pho a good meal'], ['11/10/2017']]",/Restaurant_Review-g187147-d12921076-Reviews-Be_BoBun-Paris_Ile_de_France.html,d12921076
id_88,Prague,['Cafe'],1510.0,$$ - $$$,15.0,"[['Kids loved!', 'Children World for Everyone'], ['01/01/2017', '05/01/2016']]",/Restaurant_Review-g274707-d6708258-Reviews-Koala_Cafe-Prague_Bohemia.html,d6708258
id_89,London,"['Bar', 'American', 'British', 'Pub']",5836.0,$,45.0,"[['Good pub, awesome burger', 'Lunch'], ['11/12/2017', '07/15/2017']]",/Restaurant_Review-g186338-d8838741-Reviews-Camden_s_Daughter-London_England.html,d8838741
id_90,Milan,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",2529.0,$$ - $$$,343.0,"[['Cute, relaxing...', 'Great food in lovely atmosphere !!!!'], ['02/19/2017', '12/10/2017']]",/Restaurant_Review-g187849-d2239303-Reviews-Abbottega-Milan_Lombardy.html,d2239303
id_91,Paris,"['Lebanese', 'Mediterranean']",6878.0,,12.0,"[[], []]",/Restaurant_Review-g187147-d6962328-Reviews-Restaurant_Zahle-Paris_Ile_de_France.html,d6962328
id_92,Paris,['Italian'],5317.0,$,49.0,"[['Sad restaurant', 'Well worth trying'], ['07/11/2017', '05/27/2015']]",/Restaurant_Review-g187147-d1337474-Reviews-Il_Sorriso-Paris_Ile_de_France.html,d1337474
id_93,Prague,,2787.0,,2.0,"[['Amazing Italian food in Prague'], ['10/07/2013']]",/Restaurant_Review-g274707-d4769732-Reviews-Pizza_Fast_Food_Lambertini-Prague_Bohemia.html,d4769732
id_94,Edinburgh,"['Fast Food', 'Turkish', 'Middle Eastern']",1626.0,$,17.0,"[['ABSOLUTE CONMEN', ""Don't be confused by the rotten place next...""], ['01/09/2018', '03/04/2017']]",/Restaurant_Review-g186525-d5423578-Reviews-Best_Kebab_House-Edinburgh_Scotland.html,d5423578
id_95,London,"['Indian', 'Vegetarian Friendly']",11836.0,$$ - $$$,42.0,"[['Average restaurant', 'Still a good curry'], ['08/28/2017', '05/29/2017']]",/Restaurant_Review-g186338-d720392-Reviews-Travancore-London_England.html,d720392
id_96,Lisbon,"['European', 'Portuguese', 'Healthy', 'Vegetarian Friendly']",495.0,$$ - $$$,244.0,"[['Hidden Gem', 'Wonderful Restaurant, beautiful food.'], ['11/19/2017', '09/11/2017']]",/Restaurant_Review-g189158-d4309064-Reviews-Paixao_aos_Molhos-Lisbon_Lisbon_District_Central_Portugal.html,d4309064
id_97,Milan,,5209.0,,24.0,"[[], []]",/Restaurant_Review-g187849-d8837875-Reviews-Il_Giropizza-Milan_Lombardy.html,d8837875
id_98,Helsinki,"['Mediterranean', 'European', 'Greek', 'Vegetarian Friendly']",445.0,$$ - $$$,48.0,"[['Brunch with lots of variety', 'Nice place and tasty food'], ['08/20/2017', '05/25/2017']]",/Restaurant_Review-g189934-d2086866-Reviews-Thalassa_Restaurant_Bar-Helsinki_Uusimaa.html,d2086866
id_99,Barcelona,"['Mediterranean', 'Spanish']",3081.0,$,55.0,"[['Great place Great food.', 'Overpriced and awful paella'], ['04/26/2017', '11/05/2016']]",/Restaurant_Review-g187497-d6404526-Reviews-Bar_Brusi-Barcelona_Catalonia.html,d6404526
id_100,Vienna,,3183.0,,6.0,"[['Poor service, ugly menu and greasy food'], ['12/09/2015']]",/Restaurant_Review-g190454-d7813343-Reviews-Asia_Restaurant_Orangery-Vienna.html,d7813343
id_101,Hamburg,"['French', 'European', 'Central European', 'Vegetarian Friendly']",241.0,$$$$,173.0,"[['Hidden Gem', 'Excellent food'], ['11/12/2017', '08/23/2017']]",/Restaurant_Review-g187331-d3673130-Reviews-Petit_Bonheur-Hamburg.html,d3673130
id_102,Munich,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Vegetarian Friendly']",1004.0,$$$$,68.0,"[['Lovely interior with delicious food, but e...', 'Very good food'], ['08/10/2017', '08/06/2017']]",/Restaurant_Review-g187309-d785566-Reviews-Tokami-Munich_Upper_Bavaria_Bavaria.html,d785566
id_103,Vienna,"['Austrian', 'European']",2118.0,$,14.0,"[['Best Street Food in Vienna', 'survival kit'], ['03/08/2017', '02/22/2017']]",/Restaurant_Review-g190454-d5966033-Reviews-Zum_Scharfen_Rene-Vienna.html,d5966033
id_104,London,"['American', 'Bar', 'British', 'Pub']",7711.0,$,65.0,"[['Lovely find', 'All you could wish for'], ['10/29/2017', '07/03/2017']]",/Restaurant_Review-g186338-d3749693-Reviews-Sebright_Arms-London_England.html,d3749693
id_105,London,"['Italian', 'Pizza', 'Vegetarian Friendly']",3166.0,$$ - $$$,116.0,"[['Great little Italian gem', 'Surprisingly good'], ['05/13/2017', '04/22/2017']]",/Restaurant_Review-g186338-d6536893-Reviews-The_Italian_Boys_Restaurant-London_England.html,d6536893
id_106,London,['Chinese'],10659.0,,6.0,"[['Lovely little place.', 'Little gem'], ['09/24/2015', '08/19/2015']]",/Restaurant_Review-g186338-d3609570-Reviews-Green_Jade-London_England.html,d3609570
id_107,London,"['Cafe', 'Mediterranean', 'British', 'Vegetarian Friendly']",5531.0,$$ - $$$,33.0,"[['Very nice local little place for a bite to...', 'Brunch stop after a rainy walk'], ['12/04/2017', '08/09/2017']]",/Restaurant_Review-g186338-d9791292-Reviews-Nene_cafe_and_bistro-London_England.html,d9791292
id_108,Hamburg,"['Japanese', 'Sushi', 'Chinese', 'Vegetarian Friendly']",490.0,$$ - $$$,63.0,"[['Fun', 'The fry is the best'], ['04/10/2017', '04/30/2017']]",/Restaurant_Review-g187331-d2554554-Reviews-4mosa-Hamburg.html,d2554554
